,Time[hr],Zone0_EFT[C],Zone0_ExFT[C],Zone0_CNT[C],Zone1_EFT[C],Zone1_ExFT[C],Zone1_CNT[C],Zone2_EFT[C],Zone2_ExFT[C],Zone2_CNT[C],Zone3_EFT[C],Zone3_ExFT[C],Zone3_CNT[C],Zone4_EFT[C],Zone4_ExFT[C],Zone4_CNT[C],Zone5_EFT[C],Zone5_ExFT[C],Zone5_CNT[C],GHE0_EFT[C],GHE0_MFT[C],GHE0_q_ghe[W/m],GHE0_ExFT[C],GHE0_CNT[C],GHE1_EFT[C],GHE1_MFT[C],GHE1_q_ghe[W/m],GHE1_ExFT[C],GHE1_CNT[C],GHE2_EFT[C],GHE2_MFT[C],GHE2_q_ghe[W/m],GHE2_ExFT[C],GHE2_CNT[C]
54,54.000000,5.497330,5.065034,5.065034,5.497330,1.081473,4.553285,5.497330,2.467072,3.307149,5.497330,1.081473,3.302585,5.497330,2.448814,3.220222,5.497330,1.081473,3.186341,3.186341,4.341835,-6.366373,5.497330,5.497330,3.186341,4.341832,-6.366351,5.497322,5.497327,3.186341,4.341840,-6.366397,5.497339,5.497330
55,55.000000,5.215370,8.211375,8.211375,5.215370,0.814746,7.454131,5.215370,2.195719,5.267938,5.215370,0.814746,5.258236,5.215370,2.177177,4.947785,5.215370,0.814746,4.704588,4.704588,4.959979,-1.281123,5.215370,5.215370,4.704588,4.959978,-1.281118,5.215368,5.215370,4.704588,4.959981,-1.281128,5.215373,5.215370
56,56.000000,5.185748,10.125222,10.125222,5.185748,0.810533,8.721338,5.185748,2.184603,6.551566,5.185748,0.810533,6.525847,5.185748,2.166162,6.111560,5.185748,0.810533,5.782742,5.782742,5.484245,1.518427,5.185748,5.185748,5.782742,5.484246,1.518423,5.185750,5.185749,5.782742,5.484244,1.518433,5.185746,5.185748
57,57.000000,5.193611,10.578642,10.578642,5.193611,0.820768,8.901127,5.193611,3.271331,7.697881,5.193611,0.820768,7.640301,5.193611,2.175792,7.065254,5.193611,0.820768,6.663246,6.663246,5.928429,3.461250,5.193611,5.193611,6.663246,5.928431,3.461238,5.193616,5.193613,6.663246,5.928426,3.461263,5.193606,5.193611
58,58.000000,5.226265,10.988518,10.988518,5.226265,0.851845,9.105336,5.226265,4.187100,8.511933,5.226265,0.851845,8.437977,5.226265,2.207390,7.745672,5.226265,0.851845,7.333388,7.333388,6.279827,4.681878,5.226265,5.226265,7.333388,6.279830,4.681862,5.226272,5.226268,7.333388,6.279823,4.681897,5.226257,5.226265
59,59.000000,5.367791,11.296115,11.296115,5.367791,0.986661,9.172780,5.367791,4.827826,8.769102,5.367791,0.986661,8.694751,5.367791,2.344433,8.039580,5.367791,0.986661,7.663527,7.663527,6.515659,5.180858,5.367791,5.367791,7.663527,6.515663,5.180840,5.367800,5.367794,7.663527,6.515655,5.180879,5.367782,5.367791
60,60.000000,5.476453,11.488332,11.488332,5.476453,1.080016,9.318020,5.476453,5.796159,8.974585,5.476453,1.080016,8.888953,5.476453,2.442182,8.275930,5.476453,1.080016,7.973793,7.973793,6.725123,5.749981,5.476453,5.476453,7.973793,6.725127,5.749961,5.476461,5.476456,7.973793,6.725118,5.750005,5.476442,5.476453
61,61.000000,5.547728,11.643760,11.643760,5.547728,1.139878,9.736268,5.547728,6.090341,9.292207,5.547728,1.139878,9.188797,5.547728,2.505280,8.594370,5.547728,1.139878,8.324733,8.324733,6.936230,6.453476,5.547728,5.547728,8.324733,6.936235,6.453453,5.547738,5.547731,8.324733,6.936225,6.453502,5.547717,5.547728
62,62.000000,5.627637,11.800581,11.800581,5.627637,1.211402,9.680813,5.627637,7.627304,9.484074,5.627637,1.211402,9.385708,5.627637,2.579266,8.842546,5.627637,1.211402,8.597465,8.597465,7.112551,6.902778,5.627637,5.627637,8.597465,7.112556,6.902754,5.627647,5.627640,8.597465,7.112545,6.902806,5.627625,5.627637
63,63.000000,5.695802,11.873246,11.873246,5.695802,1.270755,9.870130,5.695802,6.981321,9.612128,5.695802,1.270755,9.546384,5.695802,2.641148,9.024354,5.695802,1.270755,8.803825,8.803825,7.249814,7.130381,5.695802,5.695802,8.803825,7.249819,7.130356,5.695813,5.695806,8.803825,7.249808,7.130409,5.695790,5.695802
