Hours,HPHtgLd_W,HPClgLd_W,Unnamed: 3,Unnamed: 4
1073,3066,17472.6,,
1074,8117.6,14910.1,,
1075,17410.5,162.1,,
1076,21719.6,0,,
1077,28947.4,0,,
1078,32980.5,0,,
1079,71464.9,0,,
1080,91093.7,0,,
1081,94765.6,0,,
1082,110509.2,0,,
1083,110916.7,0,,
1084,124460.6,0,,
1085,122642,0,,
1086,134960.3,0,,
1087,84672,0,,
1088,61343.3,0,,
1089,23184.4,6977.3,,
1090,15331.2,5504.2,,
1091,11215.6,11633.7,,
1092,8680.1,26899.2,,
1093,8236,35202,,
1094,3220.1,39584.4,,
1095,2629.6,36096,,
1096,2178.3,32610.9,,
1097,2590.1,25603.9,,
1098,6554.6,15569.2,,
1099,14553,175.3,,
1100,20476.9,0,,
1101,30608.4,0,,
1102,38077,0,,
1103,84427.2,0,,
1104,108198.2,0,,
1105,115100.2,0,,
1106,129602.5,0,,
1107,128966.9,0,,
1108,145802.3,0,,
1109,144340.8,0,,
1110,153947.5,0,,
1111,93506.7,0,,
1112,63494.1,0,,
1113,21871.6,6698.4,,
1114,13389.1,6497.8,,
1115,9522.6,5780.9,,
1116,7075.9,10522.3,,
1117,6989.1,17079.7,,
1118,2286.3,17402.1,,
1119,1744.7,13243.6,,
1120,2527.6,10853.5,,
1121,3575,13404.1,,
1122,8893.7,14294.5,,
1123,16302.9,139.9,,
1124,18620.1,0,,
1125,23927.9,0,,
1126,25631.2,0,,
1127,54200.5,0,,
1128,67797.5,0,,
1129,66177.8,0,,
1130,74480.3,0,,
1131,70870.6,0,,
1132,78465.1,0,,
1133,74545.9,0,,
1134,81743.9,0,,
1135,48560.4,0,,
1136,37385,0,,
1137,13720.9,6405.7,,
1138,5702.8,6141.7,,
1139,2175.8,5637,,
1140,944.8,7991,,
1141,1152.5,10729.1,,
1142,0,11833.9,,
1143,0,9911.9,,
1144,0,10191.2,,
1145,61.4,12959.8,,
1146,2009.3,14216.8,,
1147,10499.6,135,,
1148,13884.9,0,,
1149,20248.9,0,,
1150,23069.1,0,,
1151,52811.1,0,,
1152,68137.4,0,,
1153,73330.9,0,,
1154,85020.3,0,,
1155,82268.9,0,,
1156,91398.9,0,,
1157,86831.7,0,,
1158,96055.8,0,,
1159,55072,0,,
1160,40549.9,0,,
1161,24206.5,0,,
1162,21294.4,0,,
1163,14755.9,0,,
1164,8105.3,0,,
1165,7271.6,5949.4,,
1166,4852.6,13112,,
1167,7614.4,10775.5,,
1168,8396,5192.6,,
1169,10700.1,0,,
1170,18052,0,,
