,Time[hr],Zone0_EFT[C],Zone1_EFT[C],Zone2_EFT[C],Zone3_EFT[C],Zone4_EFT[C],Zone5_EFT[C],GHE0_EFT[C],GHE0_MFT[C],GHE0_q_ghe[W/m],GHE0_ExFT[C],GHE1_EFT[C],GHE1_MFT[C],GHE1_q_ghe[W/m],GHE1_ExFT[C],GHE2_EFT[C],GHE2_MFT[C],GHE2_q_ghe[W/m],GHE2_ExFT[C]
56,2222.603868,16.062434,18.966717,16.880585,17.155023,16.536791,16.597144,18.429142,16.880585,5.414559,15.332029,17.142252,16.007013,3.969387,14.871774,16.485845,15.578535,3.172429,14.671225
57,2554.940749,16.282685,19.396095,17.214987,17.509181,16.809545,16.874222,19.097624,17.214987,6.145513,15.332351,17.495482,16.209350,4.198338,14.923217,16.754872,15.743044,3.302921,14.731216
58,2555.068972,16.131613,18.955327,17.180402,17.447351,16.785830,16.601153,18.684907,17.180402,5.412008,15.675896,17.434923,16.217873,4.377974,15.000823,16.492966,15.718637,2.785418,14.944307
59,2555.227931,15.908487,18.016589,17.068620,16.595735,16.333250,16.195502,17.815232,17.068620,3.594435,16.322008,16.586480,16.111674,2.285871,15.636868,16.114800,15.672701,2.128409,15.230603
60,2558.772069,15.563891,17.192403,16.517066,16.091890,15.900217,15.776326,17.011566,16.517066,2.642312,16.022566,16.083569,15.739785,1.836979,15.396000,15.703742,15.404062,1.601310,15.104381
61,2558.931028,15.551572,17.649263,16.588567,16.118282,15.908555,15.771550,17.448935,16.588567,4.157269,15.728199,16.109079,15.733097,1.816732,15.357115,15.691286,15.391898,1.446631,15.092511
62,2559.059251,15.762092,18.581037,16.686849,16.953395,16.349104,16.164797,18.311066,16.686849,5.844571,15.062632,16.940995,15.831199,3.993480,14.721404,16.056840,15.425237,2.272753,14.793635
63,2627.229504,16.298556,19.414849,17.233261,17.527723,16.826716,16.891451,19.116081,17.233261,6.140662,15.350441,17.514010,16.225333,4.202915,14.936655,16.771982,15.757498,3.308655,14.743014
64,2630.770496,17.506108,19.454113,17.674504,19.277617,18.254556,18.294946,19.268177,17.674504,8.352480,16.080830,19.269026,17.366895,9.969108,15.464765,18.220187,16.690018,8.019650,15.159849
65,2649.682752,16.342129,19.437292,17.268181,17.560656,16.867810,16.932092,19.140563,17.268181,6.148736,15.395800,17.547033,16.273489,4.182208,14.999945,16.813409,15.803522,3.316383,14.793634
66,2650.765302,17.319521,21.072232,18.659104,18.789818,17.952521,17.981216,20.939301,18.659104,16.812341,16.378907,18.783723,17.225219,11.491148,15.666716,17.928142,16.623954,9.616035,15.319765
67,2655.234698,18.337286,21.915293,19.623642,19.748130,18.875782,19.070782,21.788737,19.623642,16.810747,17.458547,19.742322,18.117559,12.615372,16.492797,19.020177,17.556840,11.361991,16.093503
68,2656.317248,18.228005,21.952681,19.643289,19.772948,18.896582,18.925023,21.820882,19.643289,16.236242,17.465697,19.766900,18.135054,12.167135,16.503207,18.872357,17.491602,10.294987,16.110846
69,2880.000000,16.397733,19.488432,17.338761,17.630679,16.929534,16.993712,19.191945,17.338761,6.094699,15.485578,17.617071,16.327939,4.239660,15.038808,16.875158,15.852105,3.364590,14.829051
70,2895.377079,16.597298,19.113237,17.437622,17.575008,17.007218,17.155965,18.757039,17.437622,6.441409,16.118204,17.550902,16.531494,4.976757,15.512087,17.013025,16.122181,4.349109,15.231337
71,2895.399730,16.602196,19.125757,17.438428,17.576229,17.015790,17.164987,18.768476,17.438428,6.473838,16.108380,17.567589,16.532966,5.035896,15.498342,17.021612,16.122864,4.374543,15.224115
72,2895.610418,16.724212,19.551773,17.485659,17.960715,17.224455,17.391624,19.151019,17.485659,7.237761,15.820300,17.951025,16.588707,5.920724,15.226389,17.230907,16.145132,4.718850,15.059357
73,2896.241023,16.829814,19.719831,17.556652,18.042097,17.291863,17.462681,19.310151,17.556652,7.459123,15.803154,18.032193,16.644074,5.904855,15.255954,17.380438,16.200529,5.019158,15.020620
74,2987.063135,17.235010,20.281899,18.063921,18.575609,17.749325,17.929320,20.059774,18.063921,8.065386,16.068068,18.565163,17.035468,6.181608,15.505773,17.842588,16.540635,5.261289,15.238681
75,2990.936865,17.129278,20.043689,18.000603,18.490163,17.706078,17.766943,19.831316,18.000603,7.731274,16.169890,18.480170,17.028746,6.129500,15.577322,17.684003,16.495307,5.019978,15.306610
76,3129.658502,17.340355,20.383964,18.173619,18.684704,17.857293,18.037066,20.162096,18.173619,8.047617,16.185141,18.674270,17.142439,6.199512,15.610608,17.950430,16.643126,5.290820,15.335823
77,3130.540498,18.215977,21.874937,19.486567,19.736804,18.842613,18.930517,21.766146,19.486567,18.910449,17.206987,19.731693,18.064667,13.828958,16.397641,18.888107,17.447829,11.947946,16.007551
78,3135.459502,20.337964,23.235610,21.128188,22.117679,21.096602,21.166013,23.149838,21.128188,21.359330,19.106538,22.113633,20.206699,20.147318,18.299766,21.132443,19.429989,17.986925,17.727536
79,3136.341498,19.654063,23.265479,20.925640,21.172281,20.299666,20.386241,23.158306,20.925640,18.877509,18.692975,21.167243,19.540536,13.754036,17.913830,20.344417,18.865088,12.507941,17.385758
80,3562.788534,17.548967,20.555500,18.386927,18.891576,18.068444,18.245959,20.336179,18.386927,7.989671,16.437674,18.881261,17.357229,6.246760,15.833197,18.160317,16.850282,5.369620,15.540248
81,3563.395962,17.980286,20.580794,18.493378,18.929349,18.130397,18.821711,20.391578,18.493378,9.013824,16.595179,18.920448,17.439102,7.034350,15.957755,18.747655,17.103293,7.808445,15.458932
82,3566.604038,18.020672,20.211519,18.440085,18.842923,18.118488,18.757340,20.036875,18.440085,8.204998,16.843296,18.834699,17.491802,6.900391,16.148905,18.688919,17.256962,7.358018,15.825005
83,3567.211466,18.090295,20.686242,18.550557,18.985635,18.192819,18.882709,20.497373,18.550557,9.265147,16.603742,18.976752,17.506878,6.995318,16.037005,18.808801,17.269146,7.327418,15.729491
84,3624.000000,17.577768,20.610325,18.421174,18.930289,18.100307,18.279366,20.389296,18.421174,8.001539,16.453053,18.919892,17.383169,6.247657,15.846446,18.193041,16.874599,5.360220,15.556157
85,3639.600846,18.321235,21.148898,19.065664,19.671148,18.826090,19.077378,20.872683,19.065664,10.340817,17.258645,19.652698,18.102808,8.869374,16.552918,18.968731,17.581239,7.940032,16.193748
86,3639.843509,18.364357,21.222030,19.080643,19.692466,18.837464,19.091381,20.942885,19.080643,10.547252,17.218402,19.673824,18.105648,8.881739,16.537473,19.036109,17.596641,8.152774,16.157172
87,3640.724566,18.389369,21.255352,19.104129,19.717710,18.864314,19.118961,20.975393,19.104129,10.568697,17.232864,19.710759,18.123675,8.963678,16.536590,19.063528,17.618902,8.159093,16.174275
88,3732.486425,18.787353,21.756366,19.573118,20.208595,19.295018,19.558676,21.606092,19.573118,11.101439,17.540143,20.201393,18.501939,9.280190,16.802485,19.501252,17.971469,8.353671,16.441685
89,3733.513575,18.782618,21.734960,19.570306,20.192900,19.286834,19.549012,21.585542,19.570306,11.066646,17.555070,20.185739,18.500292,9.255612,16.814845,19.491913,17.971995,8.346612,16.452077
90,3900.491502,18.963119,21.927612,19.752535,20.386927,19.472879,19.736066,21.777598,19.752535,11.083253,17.727471,20.379737,18.679378,9.306137,16.979018,19.678736,18.145271,8.392719,16.611805
91,3901.508498,18.800445,20.787213,19.398507,19.926956,19.216213,19.435535,20.662569,19.398507,8.296455,18.134444,19.920970,18.599551,8.672898,17.278133,19.387780,18.129205,8.260440,16.870629
92,4305.773772,19.242030,22.208800,20.041789,20.676475,19.758059,20.021336,22.058688,20.041789,11.042752,18.024889,20.669281,18.960740,9.354456,17.252199,19.963970,18.416957,8.470070,16.869944
93,4306.189455,19.833824,23.355272,21.017268,21.368829,20.441696,20.587357,23.272090,21.017268,22.354585,18.762446,21.364847,19.633938,17.160445,17.903029,20.555615,19.008920,15.334127,17.462224
94,4306.282405,20.074001,23.387604,21.142062,21.472683,20.550032,20.893851,23.309415,21.142062,22.859290,18.974709,21.468939,19.745988,18.172133,18.023038,20.863983,19.171165,17.854330,17.478346
95,4311.717595,22.663721,25.421486,23.343130,24.276099,23.249094,23.534191,25.356750,23.343130,25.803060,21.329511,24.272990,22.353186,24.600877,20.433383,23.509392,21.697239,23.221421,19.885085
96,4311.810545,22.342037,25.625511,23.293823,23.620506,22.785892,23.125364,25.548344,23.293823,24.241445,21.039302,23.616809,22.058839,16.751874,20.500869,23.095861,21.480524,17.368695,19.865188
97,4312.226228,21.904131,25.382387,23.093478,23.439995,22.521801,22.665232,25.300528,23.093478,22.356771,20.886428,23.436073,21.721814,17.364943,20.007555,22.633959,21.070043,15.842003,19.506128
98,4344.000000,19.376156,22.287230,20.168292,20.790850,19.887145,20.145412,22.139819,20.168292,11.001294,18.196765,20.783785,19.102584,9.381248,17.421384,20.089074,18.561392,8.524598,17.033711
99,4359.557119,19.476460,22.357206,20.255524,20.893212,19.983683,20.294494,22.227263,20.255524,11.416120,18.283785,20.887189,19.193115,9.808478,17.499041,20.197773,18.652102,8.949245,17.106430
100,4403.403694,19.557307,22.471706,20.317749,20.962789,20.035147,20.349524,22.340244,20.317749,11.578730,18.295254,20.956697,19.228790,9.892228,17.500882,20.299221,18.709405,9.101655,17.119589
101,4403.774192,19.533949,22.363959,20.265279,20.891602,19.998437,20.303712,22.118892,20.265279,10.927252,18.411666,20.885687,19.222093,9.807073,17.558498,20.254868,18.710041,9.106926,17.165214
102,4406.225808,19.497770,22.320414,20.213426,20.838114,19.950475,20.254963,22.075981,20.213426,11.006940,18.350871,20.821954,19.187931,9.656408,17.553908,20.206247,18.688083,8.971727,17.169920
103,4406.596306,19.501375,22.331853,20.212759,20.839171,19.956342,20.261675,22.086737,20.212759,11.043958,18.338781,20.833255,19.189042,9.689881,17.544829,20.212823,18.688291,8.984562,17.163759
104,4546.507440,19.640122,22.555261,20.403756,21.048905,20.119423,20.433841,22.423777,20.403756,11.565673,18.383736,21.042812,19.311458,9.912906,17.580104,20.383528,18.790514,9.120838,17.197500
105,4551.492560,20.093527,22.726388,20.626430,21.208392,20.296644,20.940232,22.607803,20.626430,12.584838,18.645057,21.202897,19.503673,10.792743,17.804450,20.894800,19.177786,10.905747,17.460771
106,4617.975046,19.684645,22.590461,20.447956,21.091017,20.163282,20.476676,22.459407,20.447956,11.555595,18.436506,21.084943,19.356828,9.927859,17.628714,20.426525,18.836782,9.132930,17.247038
107,4624.024954,21.533997,25.028773,22.788001,23.155513,22.172040,22.350816,24.953864,22.788001,21.930279,20.622138,23.152044,21.314538,18.605522,19.477032,22.322181,20.633215,17.101489,18.944250
108,4786.433756,19.797495,22.676011,20.560267,21.197091,20.275745,20.586121,22.546130,20.560267,11.519568,18.574405,21.191072,19.474834,9.955531,17.758596,20.536424,18.953006,9.185071,17.369588
109,4791.566244,20.986204,23.108396,21.191046,22.686577,21.628879,21.857398,23.013064,21.191046,14.412184,19.369027,22.682143,20.707273,15.621238,18.732404,21.820805,20.032374,14.146511,18.243942
110,5052.276030,19.952479,22.845468,20.722474,21.362553,20.435261,20.747133,22.715031,20.722474,11.510080,18.729918,21.356507,19.629171,9.978021,17.901836,20.697207,19.101360,9.218472,17.505513
111,5053.723970,19.931125,22.716568,20.678280,21.308530,20.403492,20.710622,22.588168,20.678280,11.203246,18.768391,21.302578,19.616793,9.888672,17.931008,20.661468,19.096447,9.180280,17.531426
112,5088.000000,19.972237,22.883819,20.746108,21.390248,20.457435,20.771313,22.752552,20.746108,11.518298,18.739664,21.384164,19.646546,9.975059,17.908929,20.721075,19.116422,9.211757,17.511769
113,5482.092453,20.307077,23.280669,21.137987,21.770342,20.827672,21.110167,23.153087,21.137987,11.907159,19.122886,21.764158,20.008246,10.375619,18.252335,21.062458,19.443783,9.564693,17.825108
