,Zone0_EFT[C],Zone1_EFT[C],Zone2_EFT[C],Zone3_EFT[C],Zone4_EFT[C],Zone5_EFT[C],GHE0_EFT[C],GHE0_MFT[C],GHE0_q_ghe[W/m],GHE0_ExFT[C],GHE1_EFT[C],GHE1_MFT[C],GHE1_q_ghe[W/m],GHE1_ExFT[C],GHE2_EFT[C],GHE2_MFT[C],GHE2_q_ghe[W/m],GHE2_ExFT[C]
79,13.717148,15.606716,14.718250,14.117615,14.106680,13.769274,15.436465,14.718250,2.779143,14.000036,14.111120,14.102796,0.032209,14.094472,13.577906,13.876281,-1.154568,14.174657
80,14.019876,16.360663,15.071691,14.657490,14.481440,14.186737,16.106937,15.071691,4.575376,14.036445,14.646130,14.337336,1.364744,14.028543,14.008324,14.033079,-0.109407,14.057833
81,14.366947,17.032961,15.357636,15.360906,14.962226,14.663160,16.710293,15.357636,5.749853,14.004979,15.340999,14.630800,3.018905,13.920600,14.484595,14.232492,1.071634,13.980389
82,14.569052,17.401764,15.561867,15.626465,15.175676,14.897061,17.037866,15.561867,6.334390,14.085868,15.605112,14.799918,3.455566,13.994724,14.741811,14.371614,1.588736,14.001417
83,14.743919,17.651692,15.721714,15.822114,15.340182,15.095930,17.237726,15.721714,6.758842,14.205702,15.801058,14.936915,3.852616,14.072771,14.960356,14.496561,2.067739,14.032767
84,15.039839,17.875428,15.913034,16.233502,15.652767,15.443671,17.474301,15.913034,7.556934,14.351767,16.210587,15.164676,5.062478,14.118765,15.342823,14.693572,3.142542,14.044321
85,15.263789,18.121718,16.121524,16.523058,15.887713,15.699834,17.789097,16.121524,8.442064,14.453952,16.496837,15.354729,5.781907,14.212621,15.615669,14.861640,3.817259,14.107612
86,15.447390,18.337696,16.280318,16.738056,16.075011,15.903963,17.967649,16.280318,8.868212,14.592988,16.713930,15.515956,6.296270,14.317982,15.831761,15.008107,4.328932,14.184453
87,15.546890,18.560488,16.428378,16.831802,16.171540,16.004501,18.206519,16.428378,9.304061,14.650237,16.815697,15.607902,6.319741,14.400108,15.940928,15.096560,4.418128,14.252192
88,15.593443,18.685603,16.534672,16.877450,16.223202,16.056296,18.348283,16.534672,9.453033,14.721061,16.861811,15.664419,6.241133,14.467027,15.983446,15.147724,4.356012,14.312001
89,15.542337,18.697411,16.569509,16.806456,16.177829,15.991734,18.397917,16.569509,9.150952,14.741100,16.785523,15.646096,5.702686,14.506669,15.903367,15.129732,3.871943,14.356098
90,15.525783,18.673737,16.622121,16.804191,16.186108,15.992723,18.476275,16.622121,9.191285,14.767967,16.790691,15.657098,5.619369,14.523506,15.875067,15.126602,3.710239,14.378137
91,14.866368,17.544697,16.016267,15.812771,15.480364,15.179048,17.291788,16.016267,4.048782,14.740746,15.795365,15.204738,1.874779,14.614111,14.963963,14.754830,0.663834,14.545697
92,14.705754,17.244826,15.831200,15.567751,15.287614,14.971279,17.000079,15.831200,3.832063,14.662322,15.554793,15.053832,1.642355,14.552871,14.772742,14.629196,0.470603,14.485650
93,14.346297,16.118585,15.407369,14.962491,14.878199,14.473721,15.832389,15.407369,1.185836,14.982349,14.945881,14.818978,0.354068,14.692075,14.260461,14.444395,-0.513189,14.628329
94,14.208060,15.822418,15.227423,14.726314,14.702273,14.261956,15.582618,15.227423,1.000204,14.872229,14.716502,14.689822,0.075129,14.663142,14.089505,14.343551,-0.715378,14.597598
95,13.915380,14.896902,14.912183,14.003773,14.227844,13.814098,14.702785,14.912183,-0.708227,15.121581,13.997701,14.429219,-1.459483,14.860738,13.689157,14.173920,-1.639566,14.658682
