,Zone0_P_htg,Zone0_P_clg,Zone0_P_cp,Zone1_P_htg,Zone1_P_clg,Zone1_P_cp,Zone2_P_htg,Zone2_P_clg,Zone2_P_cp,Zone3_P_htg,Zone3_P_clg,Zone3_P_cp,Zone4_P_htg,Zone4_P_clg,Zone4_P_cp,Zone5_P_htg,Zone5_P_clg,Zone5_P_cp,central_loop_P_cp,GHE0_P_cp,GHE1_P_cp,GHE2_P_cp
6198,125.52609861196207,9668.220779770527,818.1993979393995,3297.442171798056,-0.0,142.3586096051788,109.04264789961707,82.24151829029627,10.00164294928077,128.53220199863134,-0.0,5.55224398591631,375.35197833117866,160.33445359860787,17.29686849184579,3742.4048082989866,-0.0,161.6807047159784,12.325210086900485,7.870506365164899,4.197603394754613,3.6729029704102873
6199,43.14639416917802,12997.75052612001,1091.54109191766,3285.2253930823276,-0.0,141.7673908614098,70.90440205244553,0.0,3.367696374093814,169.440764859289,-0.0,7.31760331657726,390.17996221145006,178.44516196749643,18.410759213970557,3969.2576886984707,-0.0,171.42823217362496,23.375183841269767,12.058958784652983,6.431444685148257,5.627514099504726
6200,18.60122613977675,14556.042745681605,1219.5596482838819,4512.57742166672,-0.0,194.60459237423302,0.0,0.0,0.0,210.77670593853537,-0.0,9.095553407955554,530.2515434933998,124.78243800051708,20.58390002062966,3791.9245422410318,-0.0,163.63822713136403,32.77049765532317,15.105269511817749,8.056143739636132,7.049125772181618
6201,0.0,18092.055726274575,1513.6616631176112,5650.110076255776,-0.0,243.6467666460222,0.0,0.0,0.0,274.3917860410618,-0.0,11.84155743316222,580.3287106274379,113.35822579349505,21.66567589624238,3328.270778172423,-0.0,143.64810802283753,57.02523008393004,21.853339774122997,11.655114546198929,10.198225227924068
6202,0.0,19808.009808734147,1655.424277434076,6719.324554580336,-0.0,289.6456370000419,0.0,0.0,0.0,253.73476514100165,-0.0,10.946187480224271,527.6339662892268,131.63576841763023,20.748674686538525,3009.4461929041872,-0.0,129.84181672337408,73.25556515337549,25.824596001047055,13.773117867225096,12.051478133821961
6203,0.0,20554.51758847374,1716.489647900954,6712.332993483788,-0.0,289.30179085518455,0.0,0.0,0.0,294.6472577911613,-0.0,12.710207146768429,406.8296771559497,171.70035747727405,18.60902651889935,2425.304755237217,-0.0,104.62863119293691,76.86823940865055,26.666810623491546,14.22229899919549,12.444511624296059
6204,0.0,21088.13571888951,1760.0764430434053,6649.142426003555,-0.0,286.51819088662774,0.0,0.0,0.0,264.9598956540472,-0.0,11.426923569856866,336.1849722173001,192.4837887505897,17.250792366421052,2110.9778735702857,-0.0,91.04463753072795,79.49554162278665,27.271035943989407,14.544552503461018,12.72648344052839
6205,0.0,21633.3091732389,1804.8180551621822,6641.737741514476,-0.0,286.1562610349227,0.0,0.0,0.0,253.86191011393026,-0.0,10.946415659765695,274.1844723067356,216.03847336505515,16.257084847425254,1875.9958949867496,-0.0,80.89436752413843,83.1070690588532,28.090864069426033,14.981794170360551,13.10906989906548
6206,0.0,22473.2058122267,1874.1638889831158,6626.342778433465,-0.0,285.4583587403637,0.0,0.0,0.0,210.8281193861644,-0.0,9.089558557472177,132.30129238888966,290.47368213021684,14.757344523040757,1642.0661900720718,-0.0,70.79603919073479,89.41069268144543,29.493937820274283,15.73010017081295,13.763837649461335
6207,0.0,17635.516204334202,1469.9739281893008,6618.672005578207,-0.0,285.082754592982,0.0,0.0,0.0,187.65109098472107,-0.0,8.088813941575514,25.004058424397194,364.2161458071104,14.264234790041945,1870.6758665073394,-0.0,80.63352303439828,49.83672214787735,19.97588829854435,10.653807092556985,9.322081205987363
6208,0.0,18040.95725901115,1505.9348995010066,6645.162242473569,-0.0,286.3732234671206,0.0,0.0,0.0,199.55375608334464,-0.0,8.608057720429683,0.0,478.3978182402416,17.80913464042849,2189.5809710000435,-0.0,94.4416541397285,54.75533799352993,21.269507316996677,11.343737235731561,9.925770081265116
6209,0.0,17922.65422979217,1496.3651377680617,5468.66905252992,-0.0,235.68932439278367,0.0,0.0,0.0,128.15187192696393,-0.0,5.528279165236894,0.0,638.0470069010557,23.75714653068237,2887.1339438369364,-0.0,124.52934196056982,53.30836808906602,20.893123876826646,11.14299940097421,9.750124475852433
